open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda,smc
2017-03-27 04:00,2017-03-30 16:00,buy,1255.03,1245.57,1276.18,1245.57,-1.000,sl,81.2,3,0.00688,0.000,zone*
2017-05-15 16:00,2017-05-17 16:00,buy,1236.41,1228.48,1252.93,1252.93,2.084,tp,46.2,3,0.00558,0.000,zone*
2017-05-26 12:00,2017-06-05 04:00,buy,1263.64,1255.69,1281.74,1281.74,2.276,tp,126.2,3,0.00581,0.000,zone*
2017-06-14 16:00,2017-06-14 21:30,buy,1276.56,1266.26,1291.94,1266.26,-1.000,sl,5.8,3,0.00568,0.000,zone*
2017-07-28 20:00,2017-08-03 02:00,buy,1268.88,1258.42,1285.87,1258.42,-1.000,sl,74.2,3,0.00611,0.000,zone*
2017-08-18 16:00,2017-08-18 19:15,buy,1296.69,1287.74,1315.67,1287.74,-1.000,sl,3.5,3,0.00607,0.000,zone*
2017-08-31 20:00,2017-09-04 09:00,buy,1317.07,1308.15,1337.58,1337.58,2.300,tp,35.2,3,0.00630,0.000,zone*
2018-01-19 12:00,2018-01-24 15:00,buy,1335.66,1327.04,1353.02,1353.02,2.013,tp,72.2,3,0.00548,0.000,zone*
2018-03-21 16:00,2018-03-23 02:45,buy,1320.73,1311.06,1337.96,1337.96,1.782,tp,31.0,3,0.00575,0.000,zone*
2018-03-23 04:00,2018-03-28 19:00,buy,1337.81,1328.61,1357.27,1328.61,-1.000,sl,83.2,3,0.00604,0.000,zone*
2018-05-10 16:00,2018-05-15 07:15,buy,1322.18,1312.36,1337.66,1312.36,-1.000,sl,60.5,3,0.00540,0.000,zone*
2018-07-25 16:00,2018-07-26 21:00,buy,1232.57,1224.45,1249.21,1224.45,-1.000,sl,28.2,3,0.00566,0.000,zone*
2018-09-17 20:00,2018-09-21 16:00,buy,1202.67,1193.43,1219.45,1193.43,-1.000,sl,88.2,3,0.00611,0.000,zone*
2018-11-16 16:00,2018-11-27 18:15,buy,1223.28,1212.69,1238.59,1212.69,-1.000,sl,156.2,3,0.00598,0.000,zone*
2018-12-24 08:00,2018-12-26 18:00,buy,1263.65,1255.38,1278.94,1278.94,1.849,tp,24.8,3,0.00526,0.000,zone*
2019-01-02 12:00,2019-01-02 20:45,buy,1287.23,1279.48,1303.46,1279.48,-1.000,sl,9.0,3,0.00525,0.000,zone*
2019-01-04 01:00,2019-01-04 16:00,buy,1294.22,1284.60,1308.35,1284.60,-1.000,sl,15.2,3,0.00518,0.000,zone*
2019-01-31 01:00,2019-02-04 10:15,buy,1319.84,1311.66,1336.03,1311.66,-1.000,sl,55.5,3,0.00520,0.000,zone
