open,close,dir,entry,sl,tp,exit,r,why,hold_h
2016-05-03 01:00,2016-05-03 09:45,buy,1292.06,1289.08,1298.03,1298.03,2.000,tp,8.75
2016-05-03 09:45,2016-05-03 12:45,buy,1299.39,1295.43,1307.30,1295.43,-1.000,sl,3.00
2016-05-06 16:45,2016-05-09 08:30,buy,1289.54,1281.67,1305.29,1281.67,-1.000,sl,14.75
2016-05-12 03:45,2016-05-12 04:00,buy,1278.53,1276.72,1282.15,1276.72,-1.000,sl,0.25
2016-05-16 13:45,2016-05-16 15:45,buy,1282.66,1279.99,1288.00,1288.00,2.000,tp,2.00
2016-05-17 02:45,2016-05-17 04:45,buy,1275.35,1273.72,1278.60,1278.60,2.000,tp,2.00
2016-05-17 20:30,2016-05-18 09:15,buy,1276.99,1272.62,1285.73,1272.62,-1.000,sl,11.75
2016-06-02 03:15,2016-06-02 04:45,sell,1212.11,1213.73,1208.88,1213.73,-1.000,sl,1.50
2016-06-02 19:30,2016-06-03 15:30,sell,1211.53,1214.64,1205.30,1214.64,-1.000,sl,19.00
2016-06-09 01:30,2016-06-09 02:30,buy,1262.20,1260.73,1265.13,1265.13,2.000,tp,1.00
2016-06-09 15:15,2016-06-09 15:45,buy,1259.97,1257.61,1264.69,1257.61,-1.000,sl,0.50
2016-06-09 21:15,2016-06-10 02:30,buy,1270.39,1267.20,1276.77,1267.20,-1.000,sl,4.25
2016-06-10 04:45,2016-06-10 08:00,buy,1267.77,1265.43,1272.44,1265.43,-1.000,sl,3.25
2016-06-10 11:00,2016-06-10 11:45,buy,1268.92,1266.10,1274.56,1266.10,-1.000,sl,0.75
2016-06-10 17:00,2016-06-10 18:15,buy,1276.82,1272.98,1284.51,1272.98,-1.000,sl,1.25
2016-06-10 23:15,2016-06-13 08:45,buy,1275.29,1272.18,1281.51,1281.51,2.000,tp,8.50
2016-06-13 08:45,2016-06-13 17:00,buy,1282.86,1279.54,1289.49,1279.54,-1.000,sl,8.25
2016-06-13 18:30,2016-06-14 06:00,buy,1285.54,1279.71,1297.20,1279.71,-1.000,sl,10.50
2016-06-14 08:00,2016-06-14 09:00,buy,1281.60,1279.23,1286.35,1279.23,-1.000,sl,1.00
2016-06-14 14:00,2016-06-14 16:00,buy,1282.45,1279.60,1288.16,1288.16,2.000,tp,2.00
2016-06-14 20:15,2016-06-15 11:00,buy,1285.59,1281.41,1293.95,1281.41,-1.000,sl,13.75
