date,trades,pl_pct,state
2024-02-23,4,1.136,target
2024-02-26,3,-0.395,
2024-02-27,5,-0.483,
2024-02-28,5,0.030,
2024-02-29,3,-1.204,stop
2024-03-01,8,1.293,target
2024-03-04,7,-1.380,stop
2024-03-05,2,1.214,target
2024-03-06,7,-0.694,
2024-03-07,2,1.254,target
2024-03-08,5,-1.398,stop
2024-03-11,5,-1.354,stop
2024-03-12,3,-1.151,stop
2024-03-13,3,-1.268,stop
2024-03-14,3,-1.106,stop
2024-03-15,5,-1.137,stop
2024-03-18,4,1.303,target
2024-03-19,3,-0.206,
2024-03-20,3,-1.227,stop
2024-03-21,6,-0.549,
2024-03-22,4,0.277,
2024-03-25,2,0.120,
2024-03-26,3,-1.482,stop
2024-03-27,3,-1.298,stop
2024-03-28,7,0.395,
2024-04-01,4,0.920,
2024-04-02,3,-1.040,stop
2024-04-03,3,-1.493,stop
2024-04-04,5,-1.216,stop
2024-04-05,2,1.275,target
2024-04-08,2,1.390,target
2024-04-09,7,-0.883,
2024-04-10,5,-1.368,stop
2024-04-11,2,1.280,target
2024-04-12,2,1.004,target
2024-04-15,3,-1.493,stop
2024-04-16,3,-1.356,stop
2024-04-17,2,1.033,target
2024-04-18,3,-1.493,stop
2024-04-19,5,-1.335,stop
2024-04-22,2,1.316,target
2024-04-23,3,-1.186,stop
2024-04-24,5,-1.349,stop
2024-04-25,5,-1.071,stop
2024-04-26,4,1.384,target
2024-04-29,5,-1.005,stop
2024-04-30,4,1.393,target
2024-05-01,6,-0.713,
2024-05-02,5,-0.046,
2024-05-03,3,-1.493,stop
2024-05-06,5,0.960,
2024-05-07,3,-1.370,stop
2024-05-08,2,1.150,target
2024-05-09,2,1.243,target
2024-05-10,4,1.242,target
2024-05-13,2,1.235,target
2024-05-14,3,-1.493,stop
2024-05-15,4,1.274,target
2024-05-16,7,-0.460,
2024-05-17,7,1.112,target
2024-05-20,2,1.379,target
2024-05-21,2,1.353,target
2024-05-22,6,1.654,target
2024-05-23,6,0.527,
2024-05-24,3,-1.493,stop
2024-05-27,3,-1.493,stop
2024-05-28,3,-1.173,stop
2024-05-29,2,1.293,target
2024-05-30,7,-1.018,stop
2024-05-31,4,0.328,
2024-06-03,6,1.035,target
2024-06-04,5,-1.351,stop
2024-06-05,5,0.941,
2024-06-06,3,-1.493,stop
2024-06-07,2,1.233,target
2024-06-10,3,-1.175,stop
2024-06-11,5,-0.276,
2024-06-12,4,-0.849,
2024-06-13,4,0.473,
2024-06-14,7,-0.827,
2024-06-17,1,-0.500,
2024-06-18,5,0.269,
2024-06-19,4,-0.970,
2024-06-20,7,1.129,target
2024-06-21,2,1.170,target
2024-06-24,2,0.901,
2024-06-25,3,-1.493,stop
2024-06-26,4,1.344,target
2024-06-27,6,-0.737,
2024-06-28,4,0.200,
2024-07-01,3,-1.493,stop
2024-07-02,3,-1.493,stop
2024-07-03,7,-1.112,stop
2024-07-04,4,-0.309,
2024-07-05,3,-1.089,stop
2024-07-08,3,-1.067,stop
2024-07-09,4,0.220,
2024-07-10,4,1.241,target
2024-07-11,5,-1.259,stop
2024-07-12,3,0.356,
2024-07-15,5,-0.205,
2024-07-16,2,1.161,target
2024-07-17,6,-0.473,
2024-07-18,4,0.314,
2024-07-19,2,1.252,target
2024-07-22,2,1.119,target
2024-07-23,5,-1.374,stop
2024-07-24,3,-1.344,stop
2024-07-25,6,-0.668,
2024-07-26,3,-1.091,stop
2024-07-29,5,-0.181,
2024-07-30,7,-0.075,
2024-07-31,5,-1.086,stop
2024-08-01,2,1.273,target
2024-08-02,4,0.363,
2024-08-05,4,1.586,target
2024-08-06,5,-1.338,stop
2024-08-07,5,0.222,
2024-08-08,4,1.228,target
2024-08-09,4,-0.866,
2024-08-12,4,1.375,target
2024-08-13,2,1.210,target
2024-08-14,5,0.909,
2024-08-15,5,-0.276,
2024-08-16,9,0.473,
2024-08-19,3,-1.453,stop
2024-08-20,3,-1.493,stop
2024-08-21,5,-0.238,
2024-08-22,4,1.451,target
2024-08-23,4,-0.877,
2024-08-26,3,-1.108,stop
2024-08-27,2,1.044,target
2024-08-28,6,0.394,
2024-08-29,5,-1.372,stop
2024-08-30,3,-1.493,stop
2024-09-02,3,-0.379,
2024-09-03,2,1.119,target
2024-09-04,5,-0.947,
2024-09-05,4,1.312,target
2024-09-06,5,-1.245,stop
2024-09-09,5,-0.195,
2024-09-10,6,-0.214,
2024-09-11,3,-1.248,stop
2024-09-12,7,-1.160,stop
2024-09-13,3,-1.023,stop
2024-09-16,2,1.194,target
2024-09-17,3,-1.419,stop
2024-09-18,3,-1.493,stop
2024-09-19,3,-1.210,stop
2024-09-20,4,1.314,target
2024-09-23,2,1.112,target
2024-09-24,4,1.212,target
2024-09-25,3,-1.493,stop
2024-09-26,3,-1.271,stop
2024-09-27,3,-1.401,stop
2024-09-30,3,-1.212,stop
2024-10-01,5,-0.219,
2024-10-02,5,-0.801,
2024-10-03,4,-0.869,
2024-10-04,5,-1.100,stop
2024-10-07,4,-0.894,
2024-10-08,7,0.027,
2024-10-09,3,-1.117,stop
2024-10-10,3,0.140,
2024-10-11,5,0.260,
2024-10-14,4,-0.851,
2024-10-15,4,-0.814,
2024-10-16,5,-1.021,stop
2024-10-17,7,-1.225,stop
2024-10-18,2,1.092,target
2024-10-21,3,-1.086,stop
2024-10-22,5,-1.009,stop
2024-10-23,2,1.140,target
2024-10-24,5,-1.070,stop
2024-10-25,6,0.183,
2024-10-28,2,-0.227,
2024-10-29,2,1.149,target
2024-10-30,7,-0.731,
2024-10-31,5,1.009,target
2024-11-01,5,-0.537,
2024-11-04,3,-1.168,stop
2024-11-05,3,-1.493,stop
2024-11-06,5,-1.139,stop
2024-11-07,2,1.320,target
2024-11-08,4,-0.497,
2024-11-11,8,-0.497,
2024-11-12,6,0.496,
2024-11-13,4,-0.119,
2024-11-14,5,1.011,target
2024-11-15,3,-1.205,stop
2024-11-18,2,1.328,target
2024-11-19,2,1.224,target
2024-11-20,2,1.002,target
2024-11-21,7,0.090,
2024-11-22,2,1.224,target
2024-11-25,6,-0.183,
2024-11-26,5,-1.104,stop
2024-11-27,7,-1.032,stop
2024-11-28,2,1.293,target
2024-11-29,5,-1.009,stop
2024-12-02,5,-1.161,stop
2024-12-03,3,0.774,
2024-12-04,4,1.013,target
2024-12-05,3,-1.183,stop
2024-12-06,3,-1.171,stop
2024-12-09,6,1.504,target
2024-12-10,7,0.376,
2024-12-11,6,0.136,
2024-12-12,2,1.168,target
2024-12-13,2,1.132,target
2024-12-16,3,-1.038,stop
2024-12-17,5,-1.009,stop
2024-12-18,5,-1.428,stop
2024-12-19,4,0.938,
2024-12-20,5,1.006,target
2024-12-23,3,-0.852,
2024-12-24,3,-1.367,stop
2024-12-26,2,1.093,target
2024-12-27,3,-1.268,stop
2024-12-30,4,1.412,target
2024-12-31,3,-1.260,stop
2025-01-02,5,-1.029,stop
2025-01-03,3,-1.166,stop
2025-01-06,2,1.297,target
2025-01-07,6,1.040,target
2025-01-08,6,-0.492,
2025-01-09,3,-1.180,stop
2025-01-10,5,-1.141,stop
2025-01-13,5,-0.172,
2025-01-14,3,-1.493,stop
2025-01-15,2,1.214,target
2025-01-16,4,1.002,target
2025-01-17,3,-1.121,stop
2025-01-20,4,-0.885,
2025-01-21,7,1.007,target
2025-01-22,2,1.239,target
2025-01-23,3,-0.330,
2025-01-24,4,1.376,target
2025-01-27,7,-1.008,stop
2025-01-28,6,0.628,
