open,close,dir,tag,r,why,hold_h
2023-11-22 13:45,2023-11-22 17:00,buy,trend,-1.000,sl,3.25
2023-11-22 15:45,2023-11-22 17:00,buy,trend,-1.000,sl,1.25
2023-11-22 16:45,2023-11-22 17:00,buy,trend,-1.000,sl,0.25
2023-11-22 17:45,2023-11-22 19:00,buy,trend,-1.000,sl,1.25
2023-11-22 18:45,2023-11-22 22:45,buy,trend,-0.224,time,4.00
2023-11-22 19:45,2023-11-22 23:45,buy,trend,-0.280,time,4.00
2023-11-22 20:45,2023-11-23 01:45,buy,trend,0.220,time,4.00
2023-11-22 21:45,2023-11-23 02:45,buy,trend,0.141,time,4.00
2023-11-22 22:45,2023-11-23 03:45,buy,trend,0.484,time,4.00
2023-11-22 23:45,2023-11-23 04:45,buy,trend,0.615,time,4.00
2023-11-23 01:45,2023-11-23 05:45,buy,trend,1.000,tp,4.00
2023-11-23 02:45,2023-11-23 06:45,buy,trend,0.486,time,4.00
2023-11-23 03:45,2023-11-23 07:45,buy,trend,0.416,time,4.00
2023-11-23 04:45,2023-11-23 08:45,buy,trend,0.276,time,4.00
2023-11-23 05:45,2023-11-23 09:45,buy,trend,-0.269,time,4.00
2023-11-23 06:45,2023-11-23 10:45,buy,trend,-0.078,time,4.00
2023-11-23 07:45,2023-11-23 11:45,buy,trend,-0.376,time,4.00
2023-11-23 08:45,2023-11-23 12:45,buy,trend,-0.612,time,4.00
2023-11-23 09:45,2023-11-23 13:45,buy,trend,-0.588,time,4.00
2023-11-23 10:45,2023-11-23 14:45,buy,trend,-0.631,time,4.00
2023-11-23 11:45,2023-11-23 15:45,buy,trend,-0.444,time,4.00
2023-11-23 12:45,2023-11-23 16:45,buy,trend,0.005,time,4.00
2023-11-23 13:45,2023-11-23 17:45,buy,trend,-0.495,time,4.00
2023-11-23 14:45,2023-11-23 18:45,buy,trend,-0.487,time,4.00
2023-11-23 16:45,2023-11-23 18:45,buy,trend,-1.000,sl,2.00
2023-11-23 15:45,2023-11-23 19:45,buy,trend,-0.053,time,4.00
