open,close,dir,entry,sl,tp,exit,r,why,hold_h
2022-10-14 15:00,2022-10-14 15:45,sell,1654.47,1660.99,1634.90,1660.99,-1.000,sl,0.75
2022-10-14 21:00,2022-10-17 04:15,sell,1642.95,1649.15,1624.35,1649.15,-1.000,sl,6.25
2022-10-17 20:45,2022-10-18 04:00,sell,1652.74,1652.50,1638.82,1652.50,0.050,sl,6.25
2022-10-18 16:45,2022-10-18 19:30,sell,1651.93,1651.70,1638.14,1651.70,0.050,sl,2.75
2022-10-19 17:45,2022-10-20 08:00,sell,1633.91,1633.56,1613.11,1633.56,0.050,sl,13.25
2022-10-20 21:00,2022-10-21 15:45,sell,1628.54,1628.28,1613.08,1628.28,0.050,sl,17.75
2022-11-03 22:30,2022-11-04 02:00,sell,1629.20,1631.79,1621.43,1631.79,-1.000,sl,2.50
2022-11-30 15:15,2022-11-30 15:30,buy,1763.80,1759.73,1776.00,1759.73,-1.000,sl,0.25
2022-11-30 21:30,2022-12-01 15:30,buy,1764.95,1765.37,1790.40,1790.40,3.000,tp,17.00
2022-12-01 15:30,2022-12-01 16:45,buy,1789.13,1789.37,1803.48,1803.48,3.000,tp,1.25
2022-12-02 15:00,2022-12-02 15:15,buy,1799.85,1797.04,1808.28,1797.04,-1.000,sl,0.25
2022-12-02 21:30,2022-12-05 06:00,buy,1796.96,1797.17,1809.63,1809.63,3.000,tp,7.50
2022-12-08 15:00,2022-12-08 15:45,buy,1787.00,1787.18,1797.93,1787.18,0.050,sl,0.75
2022-12-08 21:30,2022-12-09 11:00,buy,1789.70,1789.88,1800.65,1789.88,0.050,sl,12.50
2022-12-09 16:30,2022-12-09 17:15,buy,1798.08,1790.74,1820.12,1790.74,-1.000,sl,0.75
2022-12-14 16:00,2022-12-14 21:00,buy,1809.78,1805.94,1821.31,1805.94,-1.000,sl,5.00
2022-12-21 15:00,2022-12-21 17:00,buy,1817.02,1817.17,1825.73,1817.17,0.050,sl,2.00
2022-12-29 16:30,2022-12-30 09:30,buy,1815.98,1816.24,1831.66,1816.24,0.050,sl,16.00
2022-12-30 15:30,2022-12-30 17:00,buy,1821.62,1817.58,1833.75,1817.58,-1.000,sl,1.50
2022-12-30 21:30,2023-01-03 04:30,buy,1822.29,1822.52,1835.83,1835.83,3.000,tp,6.00
2023-01-03 15:00,2023-01-03 17:15,buy,1837.27,1837.53,1852.62,1837.53,0.050,sl,2.25
2023-01-03 21:45,2023-01-04 09:15,buy,1839.18,1839.42,1853.15,1853.15,3.000,tp,10.50
2023-01-04 15:15,2023-01-04 17:00,buy,1859.29,1853.80,1875.76,1853.80,-1.000,sl,1.75
2023-01-04 22:15,2023-01-05 09:45,buy,1854.11,1848.39,1871.24,1848.39,-1.000,sl,10.50
2023-01-06 18:45,2023-01-09 19:45,buy,1863.49,1864.08,1899.10,1871.90,0.709,time,24.00
2023-01-09 21:30,2023-01-10 02:00,buy,1874.22,1869.14,1889.45,1869.14,-1.000,sl,3.50
2023-01-10 16:00,2023-01-10 18:45,buy,1876.67,1872.00,1890.66,1872.00,-1.000,sl,2.75
2023-01-10 22:15,2023-01-11 03:15,buy,1878.27,1874.94,1888.24,1874.94,-1.000,sl,4.00
2023-01-11 20:45,2023-01-12 15:30,buy,1877.94,1878.21,1894.39,1878.21,0.050,sl,17.75
2023-01-12 15:30,2023-01-12 16:00,buy,1892.03,1892.38,1913.07,1892.38,0.050,sl,0.50
2023-01-12 21:45,2023-01-13 07:30,buy,1897.90,1893.17,1912.08,1893.17,-1.000,sl,8.75
2023-01-13 16:00,2023-01-13 20:30,buy,1902.23,1902.52,1919.65,1919.65,3.000,tp,4.50
2023-01-16 16:45,2023-01-17 04:30,buy,1915.47,1911.49,1927.40,1911.49,-1.000,sl,8.25
2023-01-17 16:00,2023-01-17 17:15,buy,1916.08,1910.56,1932.65,1910.56,-1.000,sl,1.25
2023-01-19 16:00,2023-01-19 22:00,buy,1914.58,1914.87,1932.03,1932.03,3.000,tp,6.00
2023-01-20 18:00,2023-01-23 07:00,buy,1928.03,1928.36,1947.82,1928.36,0.050,sl,12.00
2023-01-23 22:00,2023-01-24 09:00,buy,1927.94,1928.15,1940.49,1940.49,3.000,tp,10.00
2023-01-24 17:45,2023-01-25 07:15,buy,1935.14,1926.92,1959.79,1926.92,-1.000,sl,12.50
2023-01-25 18:45,2023-01-26 11:15,buy,1936.90,1937.32,1961.81,1937.32,0.050,sl,15.50
2023-02-01 21:30,2023-02-02 16:30,buy,1938.89,1939.31,1963.92,1939.31,0.050,sl,18.00
2023-03-23 15:15,2023-03-23 20:00,buy,1978.83,1979.21,2001.41,2001.41,3.000,tp,4.75
2023-03-30 15:00,2023-03-30 15:30,buy,1969.84,1970.01,1979.59,1970.01,0.050,sl,0.50
2023-03-30 21:15,2023-03-31 10:30,buy,1981.71,1975.84,1999.35,1975.84,-1.000,sl,12.25
2023-03-31 15:30,2023-03-31 16:00,buy,1982.12,1976.82,1998.02,1976.82,-1.000,sl,0.50
2023-04-04 15:00,2023-04-04 17:00,buy,1984.36,1984.57,1996.76,1996.76,3.000,tp,2.00
