open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda
2016-03-10 20:00,2016-03-11 22:15,buy,1272.61,1252.88,1307.51,1252.88,-1.000,sl,25.5,3,0.01221,0.000
2016-03-30 01:00,2016-04-01 15:45,buy,1240.97,1221.34,1275.44,1221.34,-1.000,sl,61.0,3,0.01241,0.000
2016-04-05 12:00,2016-04-19 21:45,buy,1232.85,1215.55,1266.51,1251.89,1.101,time,240.0,3,0.01174,0.000
2016-04-21 12:00,2016-04-22 15:30,buy,1258.11,1243.70,1285.65,1243.70,-1.000,sl,26.8,3,0.00945,0.000
2016-05-06 16:00,2016-05-09 11:15,buy,1292.19,1278.09,1321.40,1278.09,-1.000,sl,18.5,3,0.00949,0.000
2016-05-16 16:00,2016-05-16 17:45,buy,1286.81,1273.30,1316.23,1273.30,-1.000,sl,2.0,3,0.00944,0.000
2016-06-08 16:00,2016-06-13 13:30,buy,1258.01,1244.29,1284.81,1284.81,1.954,tp,66.5,3,0.00912,0.000
2016-06-13 16:00,2016-06-16 17:30,buy,1286.86,1274.07,1314.52,1314.52,2.163,tp,70.8,3,0.00889,0.000
2016-08-01 01:00,2016-08-05 22:30,buy,1351.36,1335.32,1376.51,1335.32,-1.000,sl,113.8,3,0.00864,0.000
2016-08-10 08:00,2016-08-11 08:15,buy,1352.72,1340.45,1380.45,1340.45,-1.000,sl,23.5,3,0.00836,0.000
2016-08-12 16:00,2016-08-12 19:45,buy,1355.18,1338.46,1379.17,1338.46,-1.000,sl,4.0,3,0.00852,0.000
2016-09-02 16:00,2016-09-06 20:15,buy,1324.82,1312.94,1349.42,1349.42,2.070,tp,46.2,3,0.00778,0.000
2016-11-01 16:00,2016-11-08 18:30,buy,1288.89,1276.87,1308.75,1276.87,-1.000,sl,113.8,3,0.00699,0.000
2016-12-27 12:00,2017-01-04 11:00,buy,1143.62,1133.39,1165.85,1165.85,2.173,tp,114.0,3,0.00802,0.000
2017-01-05 08:00,2017-01-11 20:00,buy,1175.44,1162.64,1194.29,1194.29,1.473,tp,104.2,3,0.00763,0.000
2017-01-17 08:00,2017-01-18 22:15,buy,1212.02,1202.50,1230.72,1202.50,-1.000,sl,37.5,3,0.00657,0.000
2017-01-31 16:00,2017-02-02 15:30,buy,1204.19,1195.20,1224.79,1224.79,2.291,tp,45.8,3,0.00693,0.000
2017-02-02 16:00,2017-02-03 15:30,buy,1223.80,1209.70,1261.33,1209.70,-1.000,sl,22.8,3,0.00659,0.899
2017-02-06 16:00,2017-02-13 17:15,buy,1229.43,1219.95,1254.12,1219.95,-1.000,sl,116.5,3,0.00667,0.024
2017-02-23 16:00,2017-03-01 15:45,buy,1248.67,1237.45,1268.42,1237.45,-1.000,sl,92.0,3,0.00701,0.000
2017-03-16 16:00,2017-03-22 16:00,buy,1228.32,1218.59,1249.37,1249.37,2.163,tp,88.2,3,0.00707,0.000
2017-03-27 04:00,2017-03-30 16:00,buy,1255.03,1245.57,1276.18,1245.57,-1.000,sl,81.2,3,0.00688,0.000
2017-04-07 08:00,2017-04-07 21:00,buy,1263.72,1251.77,1281.24,1251.77,-1.000,sl,13.2,3,0.00660,0.000
2017-05-15 16:00,2017-05-17 16:00,buy,1236.41,1228.48,1252.93,1252.93,2.084,tp,46.2,3,0.00558,0.000
2017-05-22 01:00,2017-05-31 20:30,buy,1255.58,1246.56,1273.25,1273.25,1.959,tp,176.8,3,0.00600,0.000
2017-06-02 16:00,2017-06-06 13:15,buy,1273.89,1265.62,1290.73,1290.73,2.037,tp,43.5,3,0.00556,0.000
2017-06-14 16:00,2017-06-14 21:30,buy,1276.56,1266.26,1291.94,1266.26,-1.000,sl,5.8,3,0.00568,0.000
2017-07-18 20:00,2017-07-26 22:00,buy,1242.30,1233.61,1260.70,1260.70,2.117,tp,140.2,3,0.00615,0.000
2017-07-27 01:00,2017-08-09 21:30,buy,1261.09,1249.71,1277.21,1277.21,1.417,tp,227.5,3,0.00616,0.000
2017-08-11 01:00,2017-08-15 04:00,buy,1286.50,1277.39,1304.66,1277.39,-1.000,sl,49.2,3,0.00598,0.000
2017-08-18 16:00,2017-08-18 19:15,buy,1296.69,1287.74,1315.67,1287.74,-1.000,sl,3.5,3,0.00607,0.000
2017-08-31 20:00,2017-09-04 09:00,buy,1317.07,1308.15,1337.58,1337.58,2.300,tp,35.2,3,0.00630,0.000
2017-09-07 16:00,2017-09-11 15:15,buy,1344.09,1334.01,1364.13,1334.01,-1.000,sl,45.5,3,0.00632,0.000
2017-09-25 20:00,2017-09-26 19:30,buy,1310.26,1296.89,1330.92,1296.89,-1.000,sl,22.8,3,0.00735,0.000
2017-10-16 01:00,2017-10-16 22:00,buy,1303.55,1293.27,1323.43,1293.27,-1.000,sl,21.2,3,0.00653,0.000
2017-10-20 01:00,2017-10-20 10:15,buy,1289.61,1280.81,1309.40,1280.81,-1.000,sl,9.5,3,0.00625,0.000
2017-11-01 12:00,2017-11-03 16:30,buy,1279.18,1271.00,1296.66,1271.00,-1.000,sl,48.8,3,0.00566,0.000
2017-11-06 20:00,2017-11-14 10:00,buy,1280.99,1270.03,1296.17,1270.03,-1.000,sl,128.2,3,0.00576,0.000
