open,close,dir,entry,sl,tp,exit,r,reason,hold_min
2025-08-26 02:15,2025-08-26 02:15,sell,3358.29,3360.51,3355.59,3355.59,1.218,tp,15
2025-08-26 02:45,2025-08-26 03:00,sell,3353.71,3356.16,3350.67,3356.16,-1.000,sl,30
2025-08-26 04:00,2025-08-26 04:00,buy,3383.51,3378.44,3390.48,3378.44,-1.000,sl,15
2025-08-26 14:45,2025-08-26 15:45,buy,3379.18,3375.44,3384.17,3375.44,-1.000,sl,75
2025-08-26 18:00,2025-08-26 18:45,buy,3379.60,3375.21,3385.57,3385.57,1.358,tp,60
2025-08-26 22:15,2025-08-26 23:45,buy,3388.56,3385.90,3391.92,3391.92,1.265,tp,105
2025-08-27 07:45,2025-08-27 08:30,sell,3374.74,3377.40,3371.37,3377.40,-1.000,sl,60
2025-08-27 13:30,2025-08-27 15:15,sell,3376.25,3379.35,3372.23,3379.35,-1.000,sl,120
2025-08-27 18:15,2025-08-27 18:15,buy,3389.36,3385.33,3394.78,3387.92,-0.357,lock_stop,15
2025-08-28 09:45,2025-08-28 11:30,buy,3395.59,3393.00,3398.84,3398.84,1.258,tp,120
2025-08-28 12:00,2025-08-28 13:00,buy,3400.97,3397.69,3405.26,3397.69,-1.000,sl,75
2025-08-28 14:30,2025-08-28 15:00,buy,3404.47,3401.20,3408.75,3408.75,1.309,tp,45
2025-08-28 17:15,2025-08-28 18:15,buy,3411.81,3406.83,3418.65,3406.83,-1.000,sl,75
2025-08-28 19:15,2025-08-28 22:45,buy,3414.01,3408.95,3420.98,3420.98,1.377,tp,225
2025-08-29 11:15,2025-08-29 11:45,buy,3414.13,3411.51,3417.44,3411.51,-1.000,sl,45
2025-08-29 13:15,2025-08-29 14:45,sell,3406.47,3409.27,3402.89,3409.27,-1.000,sl,105
2025-08-29 16:15,2025-08-29 16:15,buy,3418.90,3415.59,3423.24,3417.54,-0.411,lock_stop,15
2025-09-01 05:00,2025-09-01 05:00,buy,3457.61,3453.02,3463.87,3463.87,1.364,tp,15
2025-09-01 05:45,2025-09-01 05:45,buy,3475.65,3468.81,3485.29,3483.57,1.158,lock_target,15
2025-09-02 04:15,2025-09-02 04:15,buy,3489.19,3485.00,3494.86,3494.86,1.351,tp,15
2025-09-02 04:45,2025-09-02 04:45,buy,3502.53,3497.55,3509.38,3497.55,-1.000,sl,15
2025-09-02 15:00,2025-09-02 15:15,buy,3489.93,3485.18,3496.44,3485.18,-1.000,sl,30
2025-09-02 17:15,2025-09-02 17:30,buy,3497.91,3489.97,3509.20,3509.20,1.421,tp,30
2025-09-02 18:00,2025-09-02 19:00,buy,3511.35,3502.14,3524.53,3524.53,1.432,tp,75
2025-09-03 03:30,2025-09-03 03:30,buy,3537.59,3533.62,3542.91,3542.91,1.342,tp,15
2025-09-03 11:30,2025-09-03 11:30,buy,3541.30,3536.86,3547.34,3536.86,-1.000,sl,15
2025-09-03 14:15,2025-09-03 15:15,buy,3546.51,3541.99,3552.67,3541.99,-1.000,sl,75
2025-09-03 16:00,2025-09-03 16:15,buy,3550.65,3545.61,3557.58,3557.58,1.376,tp,30
2025-09-03 17:30,2025-09-03 17:45,buy,3563.32,3556.43,3573.02,3556.43,-1.000,sl,30
2025-09-03 19:30,2025-09-03 21:00,buy,3568.09,3561.07,3577.99,3577.99,1.411,tp,105
2025-09-04 05:45,2025-09-04 05:45,sell,3537.46,3544.19,3527.98,3527.98,1.407,tp,15
2025-09-04 06:15,2025-09-04 06:15,sell,3514.99,3523.29,3503.16,3523.29,-1.000,sl,15
2025-09-04 19:00,2025-09-04 20:30,buy,3553.02,3545.46,3563.73,3545.46,-1.000,sl,105
2025-09-05 03:00,2025-09-05 03:15,buy,3552.86,3549.51,3557.26,3549.51,-1.000,sl,30
2025-09-05 06:45,2025-09-05 09:00,buy,3558.07,3553.99,3563.57,3553.99,-1.000,sl,150
2025-09-05 12:45,2025-09-05 13:00,buy,3551.75,3548.05,3556.68,3550.60,-0.311,lock_stop,30
2025-09-08 04:00,2025-09-08 04:00,buy,3594.42,3589.72,3600.85,3589.72,-1.000,sl,15
2025-09-08 08:45,2025-09-08 09:00,buy,3587.56,3583.66,3592.78,3592.78,1.340,tp,30
2025-09-08 09:30,2025-09-08 10:00,buy,3594.59,3590.84,3599.59,3599.59,1.333,tp,45
2025-09-08 10:30,2025-09-08 10:30,buy,3609.22,3604.86,3615.14,3613.11,0.891,lock_target,15
2025-09-09 03:15,2025-09-09 04:00,buy,3637.35,3634.15,3641.53,3641.53,1.305,tp,60
2025-09-09 04:30,2025-09-09 05:00,buy,3644.76,3640.65,3650.30,3650.30,1.348,tp,45
2025-09-10 04:00,2025-09-10 04:30,sell,3623.68,3629.22,3615.99,3629.22,-1.000,sl,45
2025-09-10 09:15,2025-09-10 09:30,buy,3646.50,3643.01,3651.11,3643.01,-1.000,sl,30
